site_id,survey_date,pit_tag_id,bd_load
22008,2019-08-19,900067000089600,437330.888
22008,2019-08-19,900067000089709,210177.336
22008,2019-08-19,900067000089751,264664.664
22008,2019-08-19,900067000089755,1416.544
22008,2019-08-19,900067000089780,200006.152
22008,2019-08-19,900067000089800,25617.488
22008,2019-08-19,900067000089817,5244.272
22008,2019-08-19,900067000089900,135909.968
22008,2019-08-19,900067000089985,72325.032
22008,2019-08-19,982000410163511,3315.784
22008,2019-08-20,900067000089709,NA
22008,2019-08-20,900067000089751,NA
22008,2019-08-20,900067000089755,NA
22008,2019-08-20,900067000089780,NA
22008,2019-08-20,900067000089800,NA
22008,2019-08-20,900067000089900,NA
22008,2019-08-20,982000410163511,NA
22008,2019-08-21,900067000089531,NA
22008,2019-08-21,900067000089593,1489.856
22008,2019-08-21,900067000089631,174292.704
22008,2019-08-21,900067000089709,NA
22008,2019-08-21,900067000089751,NA
22008,2019-08-21,900067000089755,NA
22008,2019-08-21,900067000089800,NA
22008,2019-08-21,900067000089900,NA
22008,2019-08-21,900067000089902,567872.584
22008,2019-08-21,900067000089985,NA
22008,2019-08-21,900067000089987,111396.648
22008,2020-07-14,900067000089531,5833.808
22008,2020-07-14,900067000089593,3431.992
22008,2020-07-14,900067000089709,557716.592
22008,2020-07-14,900067000089755,5436.392
22008,2020-07-14,900067000089985,13514.2
22008,2020-07-14,982000410163511,2825.672
22008,2020-07-15,900067000089531,NA
22008,2020-07-15,900067000089709,NA
22008,2020-07-15,900067000089755,NA
22008,2020-07-15,900067000089800,2786.152
22008,2020-07-15,982000410163511,NA
22008,2020-07-16,900067000089531,NA
22008,2020-07-16,900067000089593,984.128
22008,2020-07-16,900067000089709,NA
22008,2020-07-16,900067000089755,NA
22008,2020-07-16,900067000089800,NA
22008,2020-07-16,900067000089985,NA
22008,2020-07-16,982000410163511,NA
22008,2021-07-22,900067000089593,29671.488
22008,2021-07-22,900067000089902,2801265.504
22008,2021-07-22,900067000089987,26615.52
22008,2021-07-23,900067000089902,NA
22008,2022-06-18,900067000089531,NA
