site_id,survey_date,pit_tag_id,bd_load,treatment
22008,2019-08-20,900067000089755,NA,unexposed
22008,2019-08-20,900067000089780,NA,exposed
22008,2019-08-20,900067000089800,NA,exposed
22008,2019-08-20,900067000089900,NA,exposed
22008,2019-08-20,900067000117202,NA,wild
22008,2019-08-20,900067000117239,NA,wild
22008,2019-08-20,900067000117245,NA,wild
22008,2019-08-20,900067000117375,NA,wild
22008,2019-08-20,982000410163511,NA,exposed
22008,2019-08-21,900043000144376,NA,wild
22019,2019-08-21,900043000144489,102.32,wild
22008,2019-08-21,900067000089531,NA,exposed
22008,2019-08-21,900067000089593,1489.856,exposed
22008,2019-08-21,900067000089631,174292.704,exposed
22008,2019-08-21,900067000089709,NA,exposed
22008,2019-08-21,900067000089751,NA,exposed
22008,2019-08-21,900067000089755,NA,unexposed
22008,2019-08-21,900067000089800,NA,exposed
22008,2019-08-21,900067000089900,NA,exposed
22008,2019-08-21,900067000089902,567872.584,exposed
22008,2019-08-21,900067000089985,NA,unexposed
22008,2019-08-21,900067000089987,111396.648,exposed
22008,2019-08-21,900067000117202,NA,wild
22008,2019-08-21,900067000117239,NA,wild
22008,2019-08-21,900067000117245,NA,wild
22019,2019-08-21,900067000117363,102.136,wild
22019,2019-08-21,900067000117370,0,wild
22008,2019-08-21,900067000117375,NA,wild
22019,2019-08-21,900067000117597,99,wild
22008,2020-07-14,900067000089531,5833.808,exposed
22008,2020-07-14,900067000089593,3431.992,exposed
22008,2020-07-14,900067000089709,557716.592,exposed
22008,2020-07-14,900067000089755,5436.392,unexposed
22008,2020-07-14,900067000089985,13514.2,unexposed
22008,2020-07-14,900067000117202,3776.456,wild
22008,2020-07-14,900067000117239,11068.336,wild
22008,2020-07-14,900067000117325,15666.704,wild
22008,2020-07-14,900067000117375,2892.376,wild
22008,2020-07-14,982000410163511,2825.672,exposed
22008,2020-07-15,900043000144376,1835.16,wild
22008,2020-07-15,900067000089531,NA,exposed
22008,2020-07-15,900067000089709,NA,exposed
22008,2020-07-15,900067000089755,NA,unexposed
22008,2020-07-15,900067000089800,2786.152,exposed
22008,2020-07-15,900067000114405,14056.104,wild
22008,2020-07-15,900067000117239,NA,wild
22008,2020-07-15,900067000117325,NA,wild
22008,2020-07-15,900067000117375,NA,wild
22008,2020-07-15,982000410163511,NA,exposed
22008,2020-07-16,900043000144376,NA,wild
22008,2020-07-16,900067000089531,NA,exposed
22008,2020-07-16,900067000089593,984.128,exposed
22008,2020-07-16,900067000089709,NA,exposed
22008,2020-07-16,900067000089755,NA,unexposed
22008,2020-07-16,900067000089800,NA,exposed
22008,2020-07-16,900067000089985,NA,unexposed
22008,2020-07-16,900067000117325,NA,wild
22008,2020-07-16,900067000117375,NA,wild
22008,2020-07-16,982000410163511,NA,exposed
22008,2021-07-22,900043000144376,4920.752,wild
22008,2021-07-22,900067000089593,29671.488,exposed
22008,2021-07-22,900067000089902,2801265.504,exposed
22008,2021-07-22,900067000089987,26615.52,exposed
22008,2021-07-22,900067000114405,21201.36,wild
22008,2021-07-22,900067000117202,4884.096,wild
22008,2021-07-22,900067000117325,10976.008,wild
22008,2021-07-22,900067000117375,15688.176,wild
22008,2021-07-23,900043000144376,NA,wild
22008,2021-07-23,900067000089902,NA,exposed
22008,2021-07-23,900067000117239,0,wild
22008,2021-07-23,900067000117325,NA,wild
22008,2021-07-23,900067000117375,NA,wild
22008,2021-07-23,982126058790847,49028.144,wild
22008,2022-06-18,900067000089531,NA,exposed
